model_id,name_vn,name_cn,name_e,object_data_id,object_status,preview,evidence
f920001,Kim Chuyên,金砖,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f920002,Toản Tâm Đinh,攒心钉,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f920003,Long Hổ Như Ý,龙虎如意,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f920004,Hỏa Long Tiêu,火龙镖,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f920005,Ngũ Quang Thạch,五光石,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f940001,Thái Dương Thần Châm,太阳神针,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f940002,Hàng Ma Chử,降魔杵,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f940003,Hỗn Nguyên Bảo Châu,混元宝珠,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f940004,Bát Quái Vân Quang Bá,八卦云光帕,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f940005,Lạc Phách Kính,落魄镜,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f960001,Phiên Thiên Ấn,翻天印,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f960002,Ngô Câu,吴钩,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f960003,Lục Tiên Kiếm,戮仙剑,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f960004,Đả Thần Tiên,打神鞭,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f960005,Bát Quái Kính,八卦镜,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f970001,Tru Tiên Kiếm,诛仙剑,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f970002,Âm Dương Kính,阴阳镜,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f970003,Định Hải Châu,定海珠,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f970004,Tuyệt Tiên Kiếm,绝仙剑,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f970005,Chiếu Thiên Ấn,照天印,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f980001,Chàng Tâm Chử,撞心杵,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f980002,Hỗn Nguyên Phan,混元幡,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f980003,Tứ Hải Bình,四海瓶,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f980004,Hãm Tiên Kiếm,陷仙剑,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f980005,Mậu Ất Hạnh Hoàng Kỳ,戊己杏黄旗,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f990001,Cửu Hỏa Thất Cầm Phiến,九火七禽扇,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f990002,Trân Châu Tán,珍珠伞,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f990003,Bàn Cổ Phan,盘古幡,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f990004,Ly Địa Diệm Quang Kỳ,离地焰光旗,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
f990005,Tam Bảo Ngọc Như Ý,三宝玉如意,,,UNKNOWN,,zsfabao_language.dat name only; main.b.a.f.z has fabao/ path category
