model_id,name_vn,name_cn,name_e,object_data_id,object_status,image_status,preview,evidence
m510101,Thỏ Hoang,野兔,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510102,Chim sẻ,麻雀,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510103,Hồ Ly Lửa,火狐狸,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510104,Nấm Tinh,蘑菇精,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510105,Hồng Hồ Ly,红狐狸,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510106,Thủy Linh,水灵,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510107,Bùn Thối,烂泥,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510108,Ma Thủ,魔手,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510109,Quái Đèn Lồng,灯笼怪,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510110,Nửa Khô Lâu,半骷髅,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510111,Phi Đầu Man,飞头蛮,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510112,Bích Lạc U Hồn,碧落幽魂,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510113,Quỷ Hỏa,鬼火,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510114,Hồ Ly,狐狸,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510115,Dã Sơn Tước,野山雀,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510116,Người Máy Luyện Ngục,炼狱机器人,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510117,Đào Mộc Tinh,桃木精,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510118,Mộc Đức Chân Quân [Tinh],木德真君【精】,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510119,Tiểu Sơn Tặc,小山贼,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
m510120,Vệ Binh [Thủ],卫兵【守】,,,UNKNOWN,UNKNOWN,,zsMonters_language.dat name only; ModelID→obj join not found
