mount_id,name_vn,name_cn,name_e,object_data_id,object_status,image_status,preview,evidence
m900001,Tháp Gỗ,木塔,Wooden Tower,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900001#1,Tháp Gỗ,木塔,Wooden Tower,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900002,Alpaca,羊驼,Alpaca,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900002#1,Alpaca,羊驼,Alpaca,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900003,Ngọc Thố,玉兔,Jade Rabbit,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900003#1,Ngọc Thố,玉兔,Jade Rabbit,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900004,Hoả Diễm Cự Viên,火焰巨猿,Flame Giant Ape,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900004#1,Hoả Diễm Cự Viên,火焰巨猿,Flame Giant Ape,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900005,Ngựa Gỗ (Nam),木马（男）,Wooden Horse (M),,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900005#1,Ngựa Gỗ (Nam),木马（男）,Wooden Horse (M),,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900006,Ngựa Gỗ (Nữ),木马（女）,Wooden Horse (F),,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900006#1,Ngựa Gỗ (Nữ),木马（女）,Wooden Horse (F),,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900007,Độc Giác Thú,独角兽,Unicorn Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900007#1,Độc Giác Thú,独角兽,Unicorn Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900008,Kungfu Panda,功夫熊猫,Kung Fu Panda,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900008#1,Kungfu Panda,功夫熊猫,Kung Fu Panda,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900009,Hà Mã,河马,Hippo,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900009#1,Hà Mã,河马,Hippo,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900010,Hắc Hổ,黑虎,Black Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900010#1,Hắc Hổ,黑虎,Black Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900011,Hao Thiên Khuyển,哮天犬,Howling Celestial Dog,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900011#1,Hao Thiên Khuyển,哮天犬,Howling Celestial Dog,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900012,Hồ Lô,葫芦,Gourd,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900012#1,Hồ Lô,葫芦,Gourd,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900013,Hỏa Diễm Sư,火焰狮,Flame Lion,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900013#1,Hỏa Diễm Sư,火焰狮,Flame Lion,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900014,Hỏa Thú,火兽,Fire Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900014#1,Hỏa Thú,火兽,Fire Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900015,Huyền Vũ,玄武,Black Tortoise,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
