model_id,name_vn,name_cn,name_e,object_data_id,object_status,image_status,preview,evidence
n420001,Hướng Dẫn Tân Thủ,新手指导,Beginner Guide,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420002,Vân Trung Tiên,云中仙,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420003,Tiên Nữ Hướng Dẫn,引导仙女,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420004,Trưởng Thôn,村长,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420005,Diêm Thợ Rèn,阎铁匠,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420006,Tống Tiên,宋仙,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420007,Vương Thiết,王铁,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420008,Đàm Việt,谭越,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420009,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420010,Dương Đại Phu,杨大夫,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420011,Ông Chủ Sai,赛老板,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420012,Điền Bình,田平,Tian Ping,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420013,Hoàng Tử Huyền,黄子玄,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420014,Lôi Nhân Kiệt,雷仁杰,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420015,Doãn Lam Yên,尹蓝烟,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420016,Lý Khắc,李克,Li Ke,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420017,Hoàng Hành,黄行,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420018,Bằng Thao,彭涛,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420019,Thị Nữ Đàm Thu,侍女谭秋,Maid Tam Thu,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420020,Lão Nghiện Rượu,老酒鬼,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420021,Tiểu Vũ,小雨,Little Vu,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420022,Dương Côn,杨昆,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420023,Hổ Quốc,虎国,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420024,Sứ Giả Hoạt Động,活动使者,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420025,Gói Quà,礼包,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420026,Thiên Cơ Ty Khảo,天机司考,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420027,Nam Cung Lục Đầu,南宫六斗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420028,Tần Đại Phu,秦大夫,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420029,Vệ Binh Điểm Hồi Sinh,复活点卫兵,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420030,Mao Sơn Đạo Sĩ,茅山道士,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420031,Biên Dịch Quan,编译官,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420032,Lý Văn,李文,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420033,Quản Lý Bang Hội,帮会管理员,Guild Manager Fan Zhong,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420034,Đấu Giá,拍卖,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420035,Minh Thợ Rèn,明铁匠,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420036,Diêm Vĩ,阎伟,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420037,Thụy Thanh,瑞清,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420038,Tô Quân,苏军,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420039,Lô Vi Đạo Nhân,卢维道人,Reed Taoist,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420040,Vọng Nhai Thuật Sĩ,望崖术士,Cliff Sorcerer,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420041,Sư Phụ Lưu Vân,流云师父,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420042,Tần Phong,秦风,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420043,Tiên Quân Giáo Vệ,仙军校尉,Vanguard Guard,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420044,Người Thu Thập,采集者,Collector,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420045,Thanh Sư Hộ Giả,青狮护法,Blue Lion Guardian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420046,Quan Nghĩa,关义,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420047,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420048,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420049,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420050,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420051,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420052,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420053,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420054,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420055,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420056,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420057,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420058,Thái Thượng Lão Quân,太上老君,Thái Thượng Lão Quân,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420059,Mặc Nhiên,默然,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420060,Hàn Lão,韩老,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420061,Thôn Lão,村老,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420062,Trịnh Phu Nhân,郑夫人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420063,Trịnh Lão,郑老,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420064,Liễu Y Y,柳依依,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420065,Đinh Thông,丁通,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420066,Lão Nông,老农,Old Farmer,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420067,Giả Thanh,贾青,Carpenter Jia Qing,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420068,Hà Vĩ,何伟,He Wei,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420069,Cờ Tụ Linh,聚灵旗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420070,Mã Kiên,马坚,Ma Jian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420071,Mã Kiên,马坚,Ma Jian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420072,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420073,Hộ Động Đạo Nhân,护洞道人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420074,Tần Nhất Minh,秦一明,Mage Qin Yiming,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420075,Mật Lâm Thuật Sĩ,密林术士,Dense Forest Sorcerer,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420076,Lý Vấn,李问,Li Wen,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420077,Hộ Động Đạo Sĩ,护洞道士,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420078,Ngô Việt,吴越,Watcher Wu Yue,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420079,Ngô Giáo Úy,吴校尉,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420080,Lý Giáo Đầu,李教头,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420081,Điền Thương Nhân,田商人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420082,Ninh Thương Nhân,宁商人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420083,Khương Nhất,姜一,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420084,Ân Châu Ẩn Sĩ,殷州隐士,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420085,Cờ Tụ Linh,聚灵旗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420086,Cờ Tụ Linh,聚灵旗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420087,Long Lĩnh Ẩn Sĩ,龙岭隐士,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420088,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420089,Cờ Tụ Linh,聚灵旗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420090,Cờ Tụ Linh,聚灵旗,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420091,Kỳ Bàn Sơn Tiêu Đầu,棋盘山镖头,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420092,Kỳ Bàn Đạo Nhân,棋盘道人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420093,Sùng Thiên Huyễn,崇天幻,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420094,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420095,Lưu Thư Sinh,刘书生,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420096,Mật Thám,密探,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420097,Vân Du hiệp Khách,云游侠客,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420098,Liên Quan Đạo Nhân,连关道人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420099,Du Tản Tiên,游散仙,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420100,Văn Lẫm,文凛,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420101,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420102,Hà Đại Phu,何大夫,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420103,Đấu Giá,拍卖,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420104,Sư Phụ Thể Thiên,体天师父,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420105,Hoàng Thiên Tây,黄天西,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420106,Chủ Tiệm Tạp Hóa,杂货店老板,Grocery Store Owner,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420107,Chủ Tiệm Trang Bị,装备店老板,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420108,Hứa Lương,许良,Inspector Xu Liang,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420109,Thánh Địa Chiến Trường,圣地战场,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
