skill_id,family,name_vn,name_e,icon_id,icon_status,icon_path_rule,class_status,weapon_need_e,description_status,preview,evidence
17101,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17102,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17103,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17104,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17105,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17106,171,Đoạt Phách Trảm,Soul Reaver Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17107,171,Phệ Hồn Phong Ma Trảm,Soul Devouring Demon-Sealing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17108,171,Phệ Hồn Phong Ma Trảm,Soul Devouring Demon-Sealing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17120,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17121,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17122,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17123,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17124,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17125,171,Tịch Diệt Trảm,Oblivion Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17126,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17127,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17128,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17129,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17130,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17131,171,Quỷ Thần Cung,Demon God’s Might,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17139,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17140,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17141,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17142,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17143,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17144,171,Đoạn Hồn Trảm,Soul Severing Slash,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17145,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17146,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17147,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17148,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17149,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17150,171,Bàn Cổ Truyền Nhân,Heir of Pangu,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17151,171,Bá Vương Cung,Tyrant’s Roar,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17152,171,Bá Vương Cung,Tyrant’s Roar,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17153,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17154,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17155,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17156,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17157,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17158,171,Hỗn Nguyên Hộ Thể,Primordial Body Guard,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17159,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17160,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17161,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17162,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17163,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17164,171,Cuồng Bạo,Berserk,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17165,171,Hoành Tảo Thiên Quân,Sweeping Thousand Armies,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17166,171,Hoành Tảo Thiên Quân,Sweeping Thousand Armies,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
17167,171,Hoành Tảo Thiên Quân,Sweeping Thousand Armies,,UNKNOWN,pgg 5.pgg; index=iconId-5*1000; RoleSkill.iconId is packet field (GameWorld.java:16761 / RoleSkillList.setIconList),UNKNOWN,,DESCRIPTION_ONLY,,skill_family_catalog.csv + zsSkills_language.dat; no static skill→icon table in DEX/jar
