item_id,name_vn,name_cn,name_e,icon_id,icon_status,icon_path_rule,preview,evidence
1108001,Lôi Đình Đoản Chiến Kiếm,雷霆短战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108002,Lôi Đình Đoản Chiến Kiếm,雷霆短战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108003,Lôi Đình Đoản Chiến Kiếm,雷霆短战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108004,Lôi Đình Đoản Chiến Kiếm,雷霆短战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108005,Lôi Đình Thanh Đồng Chiến Kiếm,雷霆青铜战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108006,Lôi Đình Thanh Đồng Chiến Kiếm,雷霆青铜战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108007,Lôi Đình Thanh Đồng Chiến Kiếm,雷霆青铜战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108008,Lôi Đình Thanh Đồng Chiến Kiếm,雷霆青铜战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108009,Lôi Đình Thanh Đồng Chiến Kiếm,雷霆青铜战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108010,Lôi Đình Cốt Chiến Kiếm,雷霆骨战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108011,Lôi Đình Cốt Chiến Kiếm,雷霆骨战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108012,Lôi Đình Cốt Chiến Kiếm,雷霆骨战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108013,Lôi Đình Cốt Chiến Kiếm,雷霆骨战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108014,Lôi Đình Cốt Chiến Kiếm,雷霆骨战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108015,Lôi Đình Ngư Trường Chiến Kiếm,雷霆鱼肠战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108016,Lôi Đình Ngư Trường Chiến Kiếm,雷霆鱼肠战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108017,Lôi Đình Ngư Trường Chiến Kiếm,雷霆鱼肠战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
1108018,Lôi Đình Ngư Trường Chiến Kiếm,雷霆鱼肠战剑,,,UNKNOWN,pgg group GOOGS_PNG[type] index=iconId-type*1000 (iconId packet field),,zsweapon_language.dat name only; no static item→iconId column
