id,family,name_vn,name_e,desc1_vn,desc1_e,desc3_e,needWeapon_vn,rank_group_size,rank_group_min,rank_group_max
17101,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","Use","",6,17101,17106
17102,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","","",6,17101,17106
17103,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","","",6,17101,17106
17104,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","","",6,17101,17106
17105,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","","",6,17101,17106
17106,171,"Đoạt Phách Trảm","Soul Reaver Slash","Đơn thể","Single Target","","",6,17101,17106
17107,171,"Phệ Hồn Phong Ma Trảm","Soul Devouring Demon-Sealing Slash","Đơn thể","Single Target","","",2,17107,17108
17108,171,"Phệ Hồn Phong Ma Trảm","Soul Devouring Demon-Sealing Slash","Đơn thể","Single Target","","",2,17107,17108
17120,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17121,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17122,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17123,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17124,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17125,171,"Tịch Diệt Trảm","Oblivion Slash","Đơn thể","Single Target","","",6,17120,17125
17126,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17127,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17128,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17129,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17130,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17131,171,"Quỷ Thần Cung","Demon God’s Might","Bị Động","Passive","","",6,17126,17131
17139,171,"Đoạn Hồn Trảm","Soul Severing Slash","Đơn thể","Single Target","","",6,17139,17144
17140,171,"Đoạn Hồn Trảm","Soul Severing Slash","Đơn thể","Single Target","","",6,17139,17144
17141,171,"Đoạn Hồn Trảm","Soul Severing Slash","Đơn thể","Single Target","","",6,17139,17144
17142,171,"Đoạn Hồn Trảm","Soul Severing Slash","Đơn thể","Single Target","","",6,17139,17144
